req_id,title,department,location,work_location_option,posted_date,url,roles_responsibilities,basic_qualifications,preferred_qualifications
R10226250,Pricing Analyst,Business Management Mult-Func,"Sunnyvale, CA, US; San Diego, CA, US; Los Angeles, CA, US",hybrid,5/22/2026,https://jobs.northropgrumman.com/careers/job/1340070693197,"Prepare pricing backup (i.e., Detailed Material Summary Report (DMSR), proposal visibility files, and cost volumes)

Work on multiple proposals simultaneously 

Research and analyze historical data, develops cost models to support proposal efforts

Review Basis of Estimates, provide author feedback, and ensure compliance with FAR part 15

Develop certifiable cost volumes with a high attention to detail to ensure correct formatting, correct enclosures/disclosures, and accurate data

Communicate with Material Estimating, Contracts, GSC, and PMO to correctly price solicitations in alignment with product/sales strategy and revenue recognition requirements

Update databases with pricing dates

Coordinate activities and participate in fact-finding meetings

Participate as a member of the contract negotiating team

Support proposal audits and negotiations with customers 

Support the internal certification and external certification process

The successful candidate will have strong attention to detail, the ability to build customer relationships, and the ability to make decisions in a timely manner, under tight deadlines.","Bachelor’s degree with 2 years of experience in business management, contracts, pricing, supply chain, or related field (i.e. project management, etc.) – OR – Master’s degree with 1 year of experience in business management, contract, pricing, supply chain, or related field (i.e. project management, etc.)

Experience in pricing, negotiating, or administering various contract types

Experience with MS Office Suite, specifically Excel and Word

Knowledge of FAR and DFARS

US Citizenship","Experience working with DoD proposals

Experience with cost accounting, pricing and estimating concepts and principles

What We Can Offer You – 

Northrop Grumman provides a comprehensive benefits package and a work environment which encourages your growth and supports the mutual success of our people and our company. Northrop Grumman benefits give you the flexibility and control to choose the benefits that make the most sense for you and your family.

Your benefits will include the following: Health Plan, Savings Plan, Paid Time Off and Additional Benefits including Education Assistance, Training and Development, 9/80 Work Schedule (where available), and much more!

Primary Level Salary Range: $75,800.00 - $113,800.00

The above salary range represents a general guideline; however, Northrop Grumman considers a number of factors when determining base salary offers such as the scope and responsibilities of the position and the candidate's experience, education, skills and current market conditions.

Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business."
R10233248,Associate Electrical Engineer/ Electrical Engineer - 17621,Electrical,"Huntsville, AL, US; Roy, UT, US",onsite,5/22/2026,https://jobs.northropgrumman.com/careers/job/1340071772581,"Supporting design requirements for electrical power generation, conversion and distribution systems, and circuit protective requirements for ground systems including Electrical System Analysis, test procedures, power architectures, reports, analyses, and other power related deliverables.

Attending internal program, customer and/or supplier technical exchange meetings and/or formal program milestone reviews to provide and/or obtain progress status updates.

Working in a fast-paced work environment with high expectations, significantly diverse assignments, and collaborative/team settings across all levels.

Ensure appropriate coordination between facility electrical design and other integration teams.

Integration and documentation of electrical systems designs for the weapon system. Coordinate electrical system engineering content and work products.

May perform research, evaluation, and systems integration in electrical or electro-mechanical systems, cables, connectors, power systems, test equipment, and more.

Possess strong interpersonal skills to work effectively to understand system level interdependencies that impact electrical requirements and design constraints.

Demonstrate leadership principles – Integrity, respect, organizational, communication etc.","Associate Electrical Engineer:

Bachelor’s degree in a Science, Technology, Engineering, or Mathematics (STEM) discipline from an accredited university and 1 year of experience

Engineer Electrical:

Bachelor’s degree in a Science, Technology, Engineering, or Mathematics (STEM) discipline from an accredited university and 2 years of experience, or 0 years of experience with a Master’s

Both Levels:

Must have the ability to obtain and maintain Special Access Program (SAP) approval within a reasonable period of time, as determined by the company to meet its business needs.

Knowledgeable with Siemens Teamcenter PLM or equivalent.

Electrical engineering experience in at least two of the following fields: electrical architecture, power system and power equipment design, development and test of mixed signal circuits, interface definition (internal and/or external), or power distribution.

Experience utilizing power-system design and/or analysis software tools such as ETAP, PSS/E, SKM?(PTW), Easy?Power, PSCAD or equivalent.

Knowledge of industry/military codes and standards, including mil-specs, IEEE, NEC, NESC, NFPA, IEC, and UFC.

Comfortable with understanding industry codes, standards, specifications, and mil-specs.

Working knowledge of Microsoft (MS) Office Suite (Word, Excel, Power Point, etc).""

Must be a US Citizen","Previous NGC internship preferred. 

An active DoD Secret Clearance.

Working experience utilizing power-system design and/or analysis software tools such as ETAP, PSS/E, SKM?(PTW), Easy/Power or PSCAD.  

Electrical-design experience in CAD (e.g., NX, Revit) or equivalent.

Working experience designing, troubleshooting (RCA) and/or implementing ground-power, facility-power and launch-power systems.  

Experience with high-power and/or high-frequency systems, including power-electronics.  

Knowledge of EMI/EMC design, shielding techniques, and thermal management for electronic systems.  

Experience using simulation and analysis tools such as ANSYS, MATLAB, or equivalents.""

As a full-time employee of Northrop Grumman Space Systems, you are eligible for our robust benefits package including:  

- Medical, Dental & Vision coverage  
- 401k  
- Educational Assistance  
- Life Insurance  
- Employee Assistance Programs & Work/Life Solutions  
- Paid Time Off  
- Health & Wellness Resources  
- Employee Discounts 

This positions standard work schedule is a 9/80. The 9/80 schedule allows employees who work a nine-hour day Monday through Thursday to take every other Friday off. This role may offer a competitive relocation assistance package.

Primary Level Salary Range: $65,800.00 - $98,800.00

Secondary Level Salary Range: $79,300.00 - $118,900.00

The above salary range represents a general guideline; however, Northrop Grumman considers a number of factors when determining base salary offers such as the scope and responsibilities of the position and the candidate's experience, education, skills and current market conditions.

Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business."
R10233978,Industrial Engineer,Material/Process,"Sunnyvale, CA, US",onsite,5/22/2026,https://jobs.northropgrumman.com/careers/job/1340071841551,,,
R10233859,Software Quality Engineer - level 2,Mission/Quality Assurance,"Huntsville, AL, US",onsite,5/21/2026,https://jobs.northropgrumman.com/careers/job/1340071828506,"Assist with code reviews, product reviews, configuration audits, test witnessing, and post-test analysis as needed.

Support individual product scrum team(s) by attending meetings and monitoring the health of the product(s). Offer suggestions for improvement to the software leadership.

Assist with Software Quality reporting metrics when required.

Become fluent in the use of tools: Jira, Confluence, DOORS or others as needed.

Maintain a focus on software quality, collaboration, process and continuous improvement.

Review, develop and implement Software Quality related procedures and processes.

Participate in internal and external audits as required.

Collaborate with engineering, test, chief engineering office, and product teams throughout the software development lifecycle.

Support local lab activities to include software installations and testing.

Potential travel to field sites to support GWS activities, as required.

Due to the nature of the role, this is not offered as a teleworking or hybrid position.","Bachelor's degree in a STEM (Science, Technology, Engineering or Mathematics) discipline with a minimum of 2 years related experience; 0 Years with Masters.

Must be able to obtain an active U.S. Government DoD Secret security clearance at time of application

Experience using metrics for process health and performance monitoring

Experience in prioritizing tasks and meeting deadlines

Experience evaluating, tracing, and analysis of requirements

• Software development lifecycle experience","An active DoD Secret Clearance

Experience developing and implementing Software Quality Assurance plans

Experience in process monitoring, data collection, analysis, and metric reporting

Experience in Peer Reviews and Code Reviews

Experience in software build qualification testing (specifically automation)

Able to read and understand Software Code.

Experience using computer programming language(s).

Ability to understand and work with multiple enterprise-wide systems and software problem tracking tools (e.g., SAP, DOORs, Jira, Confluence)

Experience in audits of engineering processes.

AS9100 experience.

Experience with an Agile software development program

What We Can Offer You: 

Northrop Grumman offers a comprehensive benefits package and a work environment that promotes your growth, supporting both employees and the company's success. The benefits at Northrop Grumman are flexible and customizable, allowing you to select options that best meet your needs and those of your family. Your benefits will include the following: 

Health Plan 

Savings Plan  

Paid Time Off 

Education Assistance 

Training and Development 

Flexible Work Arrangements  

https://benefits.northropgrumman.com/us/en2/BenefitsOverview/Pages/default.aspx 

#NGSpace 

#ALSpace 

#NGFeaturedJobs 

Primary Level Salary Range: $79,600.00 - $119,400.00

The above salary range represents a general guideline; however, Northrop Grumman considers a number of factors when determining base salary offers such as the scope and responsibilities of the position and the candidate's experience, education, skills and current market conditions.

Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business."
R10233687,Engineer Energetics Manufacturing,Material/Process,"Corinne, UT, US",onsite,5/21/2026,https://jobs.northropgrumman.com/careers/job/1340071800240,,,"Experience with Manufacturing Planning and MRP software

Experience with PLM Software (Teamcenter, Windchill, etc.)

Experience with using 3D modeling software (Solidworks, NX, Pro-E, etc.)

Experience working with Aerospace standards and the implementation of standards across cross-functional teams

Experience with chemical and mechanical bonding processes—rubber and composite molding processes

Primary Level Salary Range: $79,300.00 - $118,000.00

The above salary range represents a general guideline; however, Northrop Grumman considers a number of factors when determining base salary offers such as the scope and responsibilities of the position and the candidate's experience, education, skills and current market conditions.

Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business."
R10233691,Engineer Hardware,Material/Process,"San Diego, CA, US",onsite,5/21/2026,https://jobs.northropgrumman.com/careers/job/1340071800260,,"Hardware Engineer (Level 2)

Bachelor's degree in Electrical Engineering or related STEM field plus 2 or more years of relevant experience; or a Master's degree in Electrical Engineering or related STEM field plus 0 years of experience.

Experience reading and interpreting specifications, schematics and block diagrams

Experience with RF test equipment such as an oscilloscope, power meter, spectrum analyzer, and signal generators

Experience with RF/Digital hardware and software

Basic Understanding of VHDL Concepts & Programming

Hands-on troubleshooting of electrical/electro-mechanical hardware

Must have the ability to obtain and maintain a US Secret clearance within a reasonable amount of time as determined by business needs

US Citizenship","U.S. Secret Security Clearance

Experience with FPGAs, VHDL programming, advanced troubleshooting techniques

Education Background in Electrical or Software Engineering

Familiarity with Manufacturing Operations

Familiarity with the Agile process

LABVIEW or TestStand Experience

What We Can Offer You:

Northrop Grumman provides a comprehensive benefits package and a work environment which encourages your growth and supports the mutual success of our people and our company. Northrop Grumman benefits give you the flexibility and control to choose the benefits that make the most sense for you and your family.

Your benefits will include the following: Health Plan, Savings Plan, Paid Time Off and Additional Benefits including Education Assistance, Training and Development, 9/80 Work Schedule (where available), and much more!

Primary Level Salary Range: $83,400.00 - $125,200.00

The above salary range represents a general guideline; however, Northrop Grumman considers a number of factors when determining base salary offers such as the scope and responsibilities of the position and the candidate's experience, education, skills and current market conditions.

Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business."
R10233885,Supply Chain Operations Coordinator 3,Global Supply Chain Mult-Func,"Redondo Beach, CA, US",onsite,5/21/2026,https://jobs.northropgrumman.com/careers/job/1340071829387,"These employees are primarily responsible for the manual receiving, storage, movement or shipping, and disbursement of hardware, materials, and tooling.Provides administrative, technical, tactical and execution support in various aspects of the industry standard supply chain business process areas, primarily Engineering Property System, Supply Chain Logistics, as well as Supply Chain Operations.Performs a combination of manual and clerical duties which may require the use of hand trucks, forklifts, company vehicles, as well as computers and various application to process and maintain data.Pulls and assembles kits in accordance with schedules and delivers to production areas.Performs kit validation and identifies kit shortages.Creates LOOIE bundles for kitted items and performs daily scans of work in progress (WIP) in production areas.Performs Order Bill of Material (OBOM) updates as needed.Ensures all inventory locations are updated in SAP, Solumina, and LOOIE.Coordinates movement of hardware, materials, and tooling to various destinations through the courier or Transportation Department.

This position’s standard work schedule is a 9/80. The 9/80 schedule allows employees who work a nine-hour day Monday through Thursday to take every other Friday off.","High School diploma or equivalent and at least 4 years of experience in logistics support, shipping/receiving, manufacturing shop floor, warehousing, and/or inventory controlAbility to work in MS 365, Excel, Word, and Power PointExperience in SAP S4 Goods Issuing and Goods ReceivingExcellent communication skills dealing with customers and suppliersMust have the ability to lift up to 25 lbs.Ability to obtain / maintain DoD Secret Clearance within a reasonable period of time, as determined by the company to meet its business needs (after starting).","Experience working in Manufacturing Area or Production ControlKnowledge and experience working with hardware inventory and reconciliationExperience in Solumina operation buy offsAdvance experience in SAP S4 Goods Issue and Good Receiving transactionsMust know how to read Stores Pick Tickets in comparison to SAP OBOMsExperience in working with inventory in STPC, STCR, and STOIExperience working in a warehouse environmentKnowledge of Supply Chain processesActive DoD Secret Clearance

As a full-time employee of Northrop Grumman Space Systems, you are eligible for our robust benefits package including:

Medical, Dental & Vision coverage401kEducational AssistanceLife InsuranceEmployee Assistance Programs & Work/Life SolutionsPaid Time OffHealth & Wellness ResourcesEmployee Discounts

Primary Level Salary Range: $51,000.00 - $85,000.00

The above salary range represents a general guideline; however, Northrop Grumman considers a number of factors when determining base salary offers such as the scope and responsibilities of the position and the candidate's experience, education, skills and current market conditions.

Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business."
R10233938,Quality Analyst - 16490-1,Mission and Quality Assurance,"Ogden, UT, US",onsite,5/21/2026,https://jobs.northropgrumman.com/careers/job/1340071830323,,,
R10233743,Associate HR Business Partner/HR Business Partner - Melbourne FL,Human Resources Mult-Func,"Melbourne, FL, US",onsite,5/21/2026,https://jobs.northropgrumman.com/careers/job/1340071801875,,,"Strong technical competence across one or more HR disciplines:

Leadership Development

Talent Management

Employee Relations

Demonstrated experience in prioritizing the workday, balancing multiple projects, and working across multiple deadlines

Proficiency in Workday

Previous HR experience in Aerospace & Defense

Current/active US Government clearance

Primary Level Salary Range: $65,500.00 - $98,300.00

Secondary Level Salary Range: $54,400.00 - $81,600.00

The above salary range represents a general guideline; however, Northrop Grumman considers a number of factors when determining base salary offers such as the scope and responsibilities of the position and the candidate's experience, education, skills and current market conditions.

Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business."
R10233840,2026  Associate Program Control Analyst Apopka FL,Business Management Mult-Func,"Apopka, FL, US",onsite,5/21/2026,https://jobs.northropgrumman.com/careers/job/1340071827100,,,
