req_id,title,department,url
R10191491,Composite Bonder Technician 2,Manufacturing and Production,https://jobs.northropgrumman.com/careers/job/1340057843754
R10219688,A&P Certified Aircraft Mechanic 2-Saudi Arabia,Systems/Architecture/Test,https://jobs.northropgrumman.com/careers/job/1340069445015
R10215614,Sentinel - Systems Engineer / Principal Systems Engineer - 16475*,Systems/Architecture/Test,https://jobs.northropgrumman.com/careers/job/1340068858292
R10222529,Utilities Operator,NGC - Non - NGJF Union,https://jobs.northropgrumman.com/careers/job/1340069951892
R10223994,Procurement Governance and Reporting Officer,Project Management (Non-P&L),https://jobs.northropgrumman.com/careers/job/1340070599785
R10221136,Sentinel - Systems Engineer / Principal Systems Engineer - 17538,Systems/Architecture/Test,https://jobs.northropgrumman.com/careers/job/1340069579964
R10222898,Project Manager,Project Management (Non-P&L),https://jobs.northropgrumman.com/careers/job/1340070138300
R10219121,BACN E-11A SCA Certified A&P Aircraft Mechanic 2 – Deployable - Multiple Shifts - Secret - Robins AFB,NGC - Non - NGJF Service Contract Act,https://jobs.northropgrumman.com/careers/job/1340069399468
R10188677,Big Data Engineer,Cyber,https://jobs.northropgrumman.com/careers/job/1340057985082
R10188675,Elasticsearch Platform Engineer,Cyber,https://jobs.northropgrumman.com/careers/job/1340057985081
R10220884,Manufacturing Technician 1/2,Manufacturing and Production,https://jobs.northropgrumman.com/careers/job/1340069554491
R10212196,Entry Level Machinist,NGC - Non - NGJF Union,https://jobs.northropgrumman.com/careers/job/1340068405313
R10230297,Service Desk Engineer,End User Support,https://jobs.northropgrumman.com/careers/job/1340071376591
R10216912,Test Automation Engineer,Software,https://jobs.northropgrumman.com/careers/job/1340069056013
R10222827,Engineer Software - Embedded and Real Time (Melbourne FL),Software,https://jobs.northropgrumman.com/careers/job/1340069990683
R10228853,Safety Engineer,Environmental,https://jobs.northropgrumman.com/careers/job/1340071051524
R10231592,Organisational Effectiveness Coordinator,Human Resources Mult-Func,https://jobs.northropgrumman.com/careers/job/1340071603244
R10232085,2026 Associate Nuclear Surety Systems Engineer - Roy UT,Systems/Architecture/Test,https://jobs.northropgrumman.com/careers/job/1340071633695
R10222683,Northrop Grumman (SkillBridge) – Production Test Technician 2,Mission and Quality Assurance,https://jobs.northropgrumman.com/careers/job/1340069977063
R10219960,Milling Machine Machinist Level 3/4,Manufacturing and Production,https://jobs.northropgrumman.com/careers/job/1340069484523
R10231742,Security & Facilities Specialist – High Security Program,Security Mult-Func,https://jobs.northropgrumman.com/careers/job/1340071602685
R10216072,Triton Ground Handler,Tech Support Mult-Func,https://jobs.northropgrumman.com/careers/job/1340068911658
R10223481,DevOps Engineer,Software,https://jobs.northropgrumman.com/careers/job/1340070162627
R10222072,Northrop Grumman (DoD SkillBridge) - PC Network Support Tech. 3,End User Support,https://jobs.northropgrumman.com/careers/job/1340069876546
R10222566,SCA Production Control Clerk - Days Nights Weekends,NGC - Non - NGJF Service Contract Act,https://jobs.northropgrumman.com/careers/job/1340069955628
R10220448,Spacecraft Operations Technician 2/3 TS/SCI & Poly,Tech Support Mult-Func,https://jobs.northropgrumman.com/careers/job/1340069514185
R10230102,Finance Assistant,Finance and Accounting,https://jobs.northropgrumman.com/careers/job/1340071341734
R10232453,Administrative Assitant,General Administrative,https://jobs.northropgrumman.com/careers/job/1340071677045
R10221672,EOI - DARC - PROGRAM,Engineering Mult-Func,https://jobs.northropgrumman.com/careers/job/1340069761329
R10232471,2026 Associate Nuclear Surety Systems Engineer - Roy UT,Systems/Architecture/Test,https://jobs.northropgrumman.com/careers/job/1340071682014
R10219264,Information Governance Paralegal,Legal,https://jobs.northropgrumman.com/careers/job/1340069404620
R10200275,Non-Destructive Testing Technician,NGC - Non - NGJF EBA,https://jobs.northropgrumman.com/careers/job/1340060391681
R10232305,Manufacturing Technician 3,Manufacturing and Production,https://jobs.northropgrumman.com/careers/job/1340071647033
